Official division,Name type,Administrative area name,Administrative level,Description,Comment,Part of,MAEASaM ID,Geometry,resourceid
Zone,Primary name,North Western,Level 2,,,,ADMIN-ETH-000000086,,78012f82-dc6e-4272-8087-5e38c5be8db1
Zone,Primary name,"Eastern
",Level 2,,,,ADMIN-ETH-000000085,,0dd5a350-3367-4d14-9246-9a71ef1c8e23
Zone,Primary name,Central,Level 2,,,,ADMIN-ETH-000000084,,3220860e-79f3-4e72-be31-fb8a2f3f7deb
Zone,Primary name,Siti,Level 2,,,,ADMIN-ETH-000000083,,f9eab1d8-d6a9-433c-997f-ecbb0e7a43a0
Zone,Primary name,Shabelle,Level 2,,,,ADMIN-ETH-000000082,,e042c96b-3675-4788-a18b-c6e078088fd2
Zone,Primary name,Nogob,Level 2,,,,ADMIN-ETH-000000081,,8de596b4-d503-4871-9a51-e0544e0e786c
Zone,Primary name,Liben,Level 2,,,,ADMIN-ETH-000000080,,194ccf98-0925-479a-82fa-fdf5b2f83062
Zone,Primary name,Korahe,Level 2,,,,ADMIN-ETH-000000079,,67b939b1-d21d-4bb8-803c-0e562843b98b
Zone,Primary name,Jarar,Level 2,,,,ADMIN-ETH-000000078,,58d7e91d-3289-4aed-bac5-4a16847f62ac
,Primary name,Ketu South,Level 2,,,,ADMIN-GHA-000000039,,4c712586-de72-415e-ae4d-264474401691
,Primary name,Ketu North,Level 2,,,,ADMIN-GHA-000000038,,8beedc9a-b9c0-4b00-a10e-cca784f51397
,Primary name,Tano North,Level 2,,,,ADMIN-GHA-000000037,,5651d556-84b2-44ef-b8cd-8d8a16822170
,Primary name,Kintampo South,Level 2,,,,ADMIN-GHA-000000036,,7ac7b0f9-6e71-4319-9f90-6ff36ffd5bb1
,Primary name,Nkoranza North,Level 2,,,,ADMIN-GHA-000000035,,2401e5cf-435c-43cd-96bc-6776b0c17b1a
,Primary name,Asunafo North,Level 2,,,,ADMIN-GHA-000000034,,2292b962-c0e7-469f-9ccd-303d4d19b37e
,Primary name,Sunyani West,Level 2,,,,ADMIN-GHA-000000033,,8255799e-cc93-404d-990a-ea1e30c80534
,Primary name,Jaman South,Level 2,,,,ADMIN-GHA-000000032,,55ef29d6-44aa-426e-b0e3-11148fdd2ca0
,Primary name,Berekum,Level 2,,,,ADMIN-GHA-000000031,,c7632c3f-8e98-4130-81f9-5cc43fc13f03
,Primary name,Dormaa East,Level 2,,,,ADMIN-GHA-000000030,,8eaaafdd-937c-4117-a019-1da0e0dc28ba
,Primary name,Bawku West,Level 2,,,,ADMIN-GHA-000000029,,43e9025d-1404-48cf-9994-a583d63be063
,Primary name,Mamprusi East,Level 2,,,,ADMIN-GHA-000000028,,1a51f972-9ca9-412d-9aee-82b5249aff1c
